"referer","country","landing_page","roi"
"caranddriver","UK","a",41.59
"FB","US","b",18.44
"FB","CA","b",69.53
"FB","US","b",18.44
"Google","UK","a",41.59
"Other","US","b",15.43
"Google","US","b",15.43
"pioneeringwoman","CA","a",116.3
"FB","UK","b",44.61
"pioneeringwoman","UK","a",91.38
"Google","US","a",15.43
"footballoutsider","AU","b",27.81
"Google","US","a",15.43
"FB","AU","a",14.11
"Google","US","a",15.43
"footballoutsider","UK","a",50.51
"FB","US","a",18.44
"Google","CA","b",66.51
"Google","US","a",15.43
"Google","UK","a",41.59
"FB","CA","a",69.53
"Google","US","b",15.43
"Google","US","a",15.43
"blogher","US","a",131.67
"Google","UK","a",41.59
"blogher","US","b",101.35
"FB","US","b",18.44
"FB","US","a",18.44
"Google","AU","b",11.1
"Google","US","a",15.43
"FB","US","b",18.44
"FB","US","a",18.44
"Google","AU","a",11.1
"Google","UK","a",41.59
"YouTube","US","b",15.43
"FB","US","b",18.44
"FB","Other","b",8.65
"Google","UK","b",41.59
"MSmag","US","a",63.77
"scify","US","b",39.49
"Google","UK","b",41.59
"Google","US","a",15.43
"Google","US","b",15.43
"Google","CA","b",66.51
"FB","US","b",18.44
"Google","CA","b",66.51
"Google","US","a",15.43
"Google","UK","a",41.59
"caranddriver","US","a",15.43
"Google","US","b",15.43
"Google","US","a",15.43
"Google","Other","b",5.63
"Google","US","b",15.43
"footballoutsider","AU","a",20.02
"scify","CA","a",90.57
"Google","CA","b",66.51
"Google","US","a",15.43
"FB","US","a",18.44
"FB","US","a",18.44
"FB","US","a",18.44
"footballoutsider","AU","a",20.02
"Google","US","b",15.43
"Google","US","a",15.43
"Google","UK","b",41.59
"FB","US","b",18.44
"Google","UK","b",41.59
"FB","US","a",18.44
"Google","UK","a",41.59
"FB","UK","a",44.61
"Google","CA","a",66.51
"Other","Other","b",5.63
"Google","US","b",15.43
"Google","UK","b",41.59
"Google","AU","b",11.1
"FB","US","a",18.44
"FB","US","b",18.44
"Google","US","a",15.43
"pioneeringwoman","UK","b",61.06
"footballoutsider","US","b",32.14
"pioneeringwoman","US","b",34.89
"Google","US","a",15.43
"FB","US","b",18.44
"FB","UK","b",44.61
"Google","US","b",15.43
"Google","CA","a",66.51
"Google","CA","b",66.51
"Google","AU","a",11.1
"FB","US","b",18.44
"Google","UK","a",41.59
"Other","US","a",15.43
"scify","CA","b",90.57
"FB","CA","a",69.53
"FB","US","a",18.44
"Other","UK","b",41.59
"Google","US","b",15.43
"scify","CA","a",90.57
"Google","CA","b",66.51
"Google","Other","a",5.63
"Other","US","a",15.43
"Google","US","b",15.43
"FB","US","b",18.44
"scify","CA","a",90.57
"Google","CA","b",66.51
"Google","US","a",15.43
"FB","US","b",18.44
"FB","US","b",18.44
"Google","CA","a",66.51
"scify","US","b",39.49
"Google","US","b",15.43
"FB","US","a",18.44
"caranddriver","US","b",23.22
"Google","US","a",15.43
"Google","US","a",15.43
"footballoutsider","CA","a",75.43
"FB","CA","a",69.53
"FB","US","b",18.44
"caranddriver","CA","b",74.31
"YouTube","US","b",15.43
"Google","UK","a",41.59
"Google","Other","a",5.63
"pioneeringwoman","US","b",34.89
"Google","US","b",15.43
"Google","US","a",15.43
"blogher","AU","a",127.34
"Google","US","b",15.43
"Google","Other","a",5.63
"FB","US","b",18.44
"FB","US","a",18.44
"Other","UK","b",41.59
"Google","CA","a",66.51
"YouTube","US","b",15.43
"Google","US","b",15.43
"FB","US","b",18.44
"Google","US","a",15.43
"Google","CA","a",66.51
"FB","US","a",18.44
"FB","US","b",18.44
"FB","US","a",18.44
"scify","US","a",39.49
"FB","UK","b",44.61
"Google","UK","a",41.59
"Google","US","a",15.43
"Google","US","a",15.43
"Google","US","a",15.43
"FB","US","b",18.44
"Google","US","b",15.43
"Google","US","b",15.43
"Google","UK","a",41.59
"Google","UK","a",41.59
"Google","CA","b",66.51
"FB","UK","b",44.61
"Google","US","a",15.43
"Google","CA","b",66.51
"Google","UK","a",41.59
"caranddriver","US","a",15.43
"MSmag","US","a",63.77
"Google","AU","b",11.1
"Google","US","a",15.43
"Google","AU","a",11.1
"FB","CA","a",69.53
"Other","UK","b",41.59
"Google","UK","a",41.59
"Google","CA","a",66.51
"FB","CA","a",69.53
"Google","US","a",15.43
"FB","US","b",18.44
"pioneeringwoman","US","a",65.21
"FB","CA","b",69.53
"scify","CA","a",90.57
"Google","UK","a",41.59
"FB","US","a",18.44
"FB","US","a",18.44
"caranddriver","US","a",15.43
"MSmag","UK","b",59.61
"FB","CA","a",69.53
"scify","US","a",39.49
"Google","US","b",15.43
"Google","UK","a",41.59
"Google","CA","b",66.51
"YouTube","UK","a",41.59
"footballoutsider","US","b",32.14
"FB","US","b",18.44
"blogher","US","a",131.67
"Google","Other","b",5.63
"YouTube","US","b",15.43
"FB","CA","a",69.53
"FB","AU","a",14.11
"Google","CA","a",66.51
"FB","CA","b",69.53
"Google","AU","b",11.1
"Google","US","a",15.43
"Google","US","a",15.43
"Google","US","b",15.43
"scify","Other","a",29.7
"Google","US","a",15.43
"FB","AU","a",14.11
"Google","UK","a",41.59
"pioneeringwoman","US","b",34.89
"FB","UK","a",44.61
"Google","US","a",15.43
"YouTube","US","a",15.43
"scify","US","b",39.49
"Google","UK","b",41.59
"FB","UK","b",44.61
"caranddriver","CA","b",74.31
"YouTube","UK","a",41.59
"pioneeringwoman","CA","a",116.3
"Google","CA","b",66.51
"FB","US","b",18.44
"Google","CA","b",66.51
"FB","US","a",18.44
"FB","US","b",18.44
"Google","CA","b",66.51
"FB","AU","b",14.11
"Google","CA","b",66.51
"FB","UK","a",44.61
"FB","US","a",18.44
"Google","UK","a",41.59
"FB","UK","a",44.61
"Google","UK","a",41.59
"FB","CA","a",69.53
"Google","UK","b",41.59
"Google","AU","a",11.1
"Google","AU","a",11.1
"FB","UK","a",44.61
"Google","UK","a",41.59
"Google","CA","b",66.51
"Google","CA","b",66.51
"Google","US","b",15.43
"Google","CA","b",66.51
"Google","UK","a",41.59
"pioneeringwoman","CA","a",116.3
"Google","CA","a",66.51
"footballoutsider","CA","a",75.43
"Google","UK","a",41.59
"YouTube","US","b",15.43
"pioneeringwoman","US","a",65.21
"Google","UK","b",41.59
"Google","CA","b",66.51
